id,variavel,unidade,classificacoes_id,localidade_id,localidade_nivel_id,localidade_nivel_nome,localidade_nome,periodo,c56727-Índice de receita nominal das atividades turísticas,c56728-Índice de volume das atividades turísticas
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201404,84.75001,121.90062
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201405,87.64831,126.72757
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201406,84.67179,124.33749
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201407,77.41003,121.67169
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201408,86.83899,122.31773
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201409,92.09127,123.51882
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201410,86.28273,116.08210
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201411,79.78926,108.25226
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201412,81.65218,105.48648
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201501,79.18764,103.97520
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201502,82.29912,111.15759
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201503,78.08266,109.55149
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201504,78.09579,103.21607
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201505,81.66710,113.40041
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201506,76.97420,99.89997
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201507,73.01314,87.31704
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201508,73.70709,108.29250
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201509,75.04431,106.44379
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201510,74.05388,107.34590
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201511,72.37399,111.83580
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201512,71.59224,94.47068
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201601,72.69798,101.81312
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201602,71.09948,97.26049
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201603,68.09983,95.48806
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201604,66.71155,95.31620
7168,PMS - Número-índice com ajuste sazonal (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201605,65.51280,91.58912
