id,variavel,unidade,classificacoes_id,classificacoes_nome,classificacoes_categoria,classificacoes_categoria_id,localidade_id,localidade_nivel_id,localidade_nivel_nome,localidade_nome,valor,periodo
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,2701,N7,Região Metropolitana,Maceió - AL,11,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,2701,N7,Região Metropolitana,Maceió - AL,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,2801,N7,Região Metropolitana,Aracaju - SE,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,2801,N7,Região Metropolitana,Aracaju - SE,4,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,2801,N7,Região Metropolitana,Aracaju - SE,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,2901,N7,Região Metropolitana,Salvador - BA,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,2901,N7,Região Metropolitana,Salvador - BA,12,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,2901,N7,Região Metropolitana,Salvador - BA,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3101,N7,Região Metropolitana,Belo Horizonte - MG,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3101,N7,Região Metropolitana,Belo Horizonte - MG,48,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3101,N7,Região Metropolitana,Belo Horizonte - MG,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3102,N7,Região Metropolitana,Vale do Aço - MG,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3102,N7,Região Metropolitana,Vale do Aço - MG,26,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3102,N7,Região Metropolitana,Vale do Aço - MG,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3201,N7,Região Metropolitana,Grande Vitória - ES,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3201,N7,Região Metropolitana,Grande Vitória - ES,7,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3201,N7,Região Metropolitana,Grande Vitória - ES,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3301,N7,Região Metropolitana,Rio de Janeiro - RJ,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3301,N7,Região Metropolitana,Rio de Janeiro - RJ,17,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3301,N7,Região Metropolitana,Rio de Janeiro - RJ,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3501,N7,Região Metropolitana,São Paulo - SP,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3501,N7,Região Metropolitana,São Paulo - SP,39,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3501,N7,Região Metropolitana,São Paulo - SP,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3502,N7,Região Metropolitana,Baixada Santista - SP,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3502,N7,Região Metropolitana,Baixada Santista - SP,9,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3502,N7,Região Metropolitana,Baixada Santista - SP,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3503,N7,Região Metropolitana,Campinas - SP,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3503,N7,Região Metropolitana,Campinas - SP,19,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,3503,N7,Região Metropolitana,Campinas - SP,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4101,N7,Região Metropolitana,Curitiba - PR,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4101,N7,Região Metropolitana,Curitiba - PR,26,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4101,N7,Região Metropolitana,Curitiba - PR,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4102,N7,Região Metropolitana,Londrina - PR,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4102,N7,Região Metropolitana,Londrina - PR,8,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4102,N7,Região Metropolitana,Londrina - PR,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4103,N7,Região Metropolitana,Maringá - PR,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4103,N7,Região Metropolitana,Maringá - PR,13,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4103,N7,Região Metropolitana,Maringá - PR,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4301,N7,Região Metropolitana,Porto Alegre - RS,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4301,N7,Região Metropolitana,Porto Alegre - RS,31,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,4301,N7,Região Metropolitana,Porto Alegre - RS,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,5201,N7,Região Metropolitana,Goiânia - GO,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,5201,N7,Região Metropolitana,Goiânia - GO,13,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total geral de municípios,2113,5201,N7,Região Metropolitana,Goiânia - GO,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,1301,N7,Região Metropolitana,Manaus - AM,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,1301,N7,Região Metropolitana,Manaus - AM,8,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,1301,N7,Região Metropolitana,Manaus - AM,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,1501,N7,Região Metropolitana,Belém - PA,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,1501,N7,Região Metropolitana,Belém - PA,5,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,1501,N7,Região Metropolitana,Belém - PA,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,1601,N7,Região Metropolitana,Macapá - AP,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,1601,N7,Região Metropolitana,Macapá - AP,2,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,1601,N7,Região Metropolitana,Macapá - AP,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,2101,N7,Região Metropolitana,Grande São Luís - MA,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,2101,N7,Região Metropolitana,Grande São Luís - MA,5,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,2101,N7,Região Metropolitana,Grande São Luís - MA,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,2102,N7,Região Metropolitana,Sudoeste Maranhense - MA,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,2102,N7,Região Metropolitana,Sudoeste Maranhense - MA,8,2008
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,2102,N7,Região Metropolitana,Sudoeste Maranhense - MA,...,2017
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,2301,N7,Região Metropolitana,Fortaleza - CE,...,2000
2598,Municípios com serviço de abastecimento de água por rede geral de distribuição,Unidades,11974,Existência e tipo de tratamento da água,Total de municípios abastecidos,2114,2301,N7,Região Metropolitana,Fortaleza - CE,13,2008
