id,variavel,unidade,classificacoes_id,localidade_id,localidade_nivel_id,localidade_nivel_nome,localidade_nome,periodo,c56727-Índice de receita nominal das atividades turísticas,c56728-Índice de volume das atividades turísticas
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201410,89.29949,121.63537
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201411,83.91382,114.18583
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201412,93.05587,108.91166
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201501,78.40746,93.75870
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201502,76.97574,104.34914
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201503,75.23465,106.51346
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201504,73.33418,94.46681
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201505,77.03388,113.85105
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201506,73.89790,97.14733
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201507,74.60841,90.96966
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201508,74.61568,116.44971
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201509,74.98079,109.58064
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201510,77.18275,112.74447
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201511,76.70096,118.89531
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201512,83.30322,98.69045
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201601,72.28660,92.30749
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201602,65.91760,90.42999
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201603,65.03714,92.66305
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201604,61.56163,86.47086
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201605,60.86418,84.44047
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201606,62.27830,91.77436
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201607,68.45206,87.53003
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201608,64.17764,90.02263
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201609,63.82380,89.63564
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201610,65.90644,90.59648
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201611,67.56184,92.58731
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201612,74.97813,91.27332
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201701,61.56135,67.96638
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201702,64.10527,75.04924
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201703,61.79756,73.59713
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201704,56.86484,63.38619
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201705,56.76081,68.58954
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201706,57.05864,68.53806
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201707,62.47841,73.47191
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201708,60.73571,75.03879
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201709,59.71668,67.79368
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201710,60.36797,68.00259
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201711,65.22186,77.89101
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201712,72.96463,76.50572
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201801,64.06646,69.65405
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201802,53.88719,60.65385
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201803,59.80182,69.97947
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201804,61.85073,72.89851
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201805,61.35525,77.81091
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201806,60.22764,77.57228
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201807,64.79446,73.34453
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201808,69.33713,93.37681
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201809,67.21722,83.87363
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201810,71.76379,85.22051
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201811,70.57416,84.91319
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201812,80.44495,82.18442
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201901,67.57816,70.35357
7167,PMS - Número-índice (2022=100),Número-índice,11046,13,N3,Unidade da Federação,Amazonas,201902,61.53744,67.43974
